Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2004,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.47,
SURVEY,2003,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.42,
SURVEY,2003,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.27,
SURVEY,2002,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.32,
SURVEY,2002,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.13,
SURVEY,2001,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,1.97,
SURVEY,2001,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,1.89,
SURVEY,2000,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,1.85,
SURVEY,2000,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,1.86,
SURVEY,1999,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,1.82,
SURVEY,1999,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,1.89,
SURVEY,1998,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,1.94,
SURVEY,1998,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.2,
SURVEY,1997,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.43,
SURVEY,1997,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.6,
SURVEY,1996,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.71,
SURVEY,1996,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.55,
SURVEY,1995,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.24,
SURVEY,1994,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.26,
SURVEY,1993,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.5,
SURVEY,1992,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.07,
SURVEY,1991,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.37,
SURVEY,1990,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.28,
SURVEY,1989,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.36,
SURVEY,1988,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.54,
SURVEY,1987,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,1.94,
SURVEY,1986,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,1.5,
SURVEY,1985,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.23,
SURVEY,1984,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.63,
SURVEY,1983,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.21,
SURVEY,1982,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.55,
SURVEY,1981,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.5,
SURVEY,1980,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.11,
SURVEY,1979,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.52,
SURVEY,1978,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.25,
SURVEY,1977,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.02,
SURVEY,1976,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.15,
SURVEY,1975,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.54,
SURVEY,1974,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.02,
SURVEY,1973,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,2.55,
SURVEY,1972,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,1.57,
SURVEY,1971,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,1.08,
SURVEY,1970,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,1.33,
