Plot_Idnum,Old_plot_num,Year,Rep,Treatment,Treatment_st,Fert,Fert_st,Tillage,Tillage_st,Yield_bu_ac,Yield_kg_ha,Crop,Rotation,Height_in,Lodging_pct,Pop1_30DAP_no_ac,Pop2_EOS_no_ac,Moisture_pct,Ears_no_ac,Barren_pct,Sampled_ear_bean_weight_g
214,204_3,1970,2,14,RT_NPK,4,NPK,3,Chisel,82.1,5153.2,Corn,CC,106,11.8,,29600,,,11.8,122.4
215,205_3,1970,2,15,RT_NPKwNPK,5,NPKplusNPKst,3,Chisel,117.6,7381.5,Corn,CC,112,10,,26100,,,0,167.8
216,201_4,1970,2,16,NT_ctrl,1,Control,4,No_till,78.6,4933.5,Corn,CC,104,7.8,,22200,,,5.9,122.4
217,202_4,1970,2,17,NT_N,2,N_only,4,No_till,70.7,4437.7,Corn,CC,109,8.1,,27000,,,11.3,104.3
218,203_4,1970,2,18,NT_NwNPK,3,NplusNPKst,4,No_till,84.5,5303.9,Corn,CC,102,6.8,,31700,,,16.4,131.5
219,204_4,1970,2,19,NT_NPK,4,NPK,4,No_till,74.7,4688.7,Corn,CC,104,6.2,,28300,,,10.8,122.4
220,205_4,1970,2,20,NT_NPKwNPK,5,NPKplusNPKst,4,No_till,87.4,5485.9,Corn,CC,98,12.3,,35300,,,9.9,113.4
301,301_1,1970,3,1,CT_ctrl,1,Control,1,Conv,73.7,4626,Corn,CC,107,1.5,,29600,,,4.4,108.8
302,302_1,1970,3,2,CT_N,2,N_only,1,Conv,88.5,5554.9,Corn,CC,103,21,,27000,,,4.8,131.5
303,303_1,1970,3,3,CT_NwNPK,3,NplusNPKst,1,Conv,101,6339.5,Corn,CC,108,9,,29200,,,1.5,131.5
304,304_1,1970,3,4,CT_NPK,4,NPK,1,Conv,88.7,5567.5,Corn,CC,106,23.3,,26100,,,3.3,122.4
305,305_1,1970,3,5,CT_NPKwNPK,5,NPKplusNPKst,1,Conv,76.4,4795.4,Corn,CC,106,14.9,,29200,,,11.9,108.8
306,301_2,1970,3,6,AT_ctrl,1,Control,2,Alt,56.7,3558.9,Corn,CC,94,5.7,,30500,,,14.3,90.7
307,302_2,1970,3,7,AT_N,2,N_only,2,Alt,79.7,5002.6,Corn,CC,106,6.3,,27400,,,4.8,113.4
308,303_2,1970,3,8,AT_NwNPK,3,NplusNPKst,2,Alt,76.4,4795.4,Corn,CC,106,9,,29200,,,6,104.3
309,304_2,1970,3,9,AT_NPK,4,NPK,2,Alt,77.6,4870.8,Corn,CC,109,2.9,,30100,,,5.8,108.8
310,305_2,1970,3,10,AT_NPKwNPK,5,NPKplusNPKst,2,Alt,107.6,6753.8,Corn,CC,97,2.1,,20400,,,12.8,217.7
311,301_3,1970,3,11,RT_ctrl,1,Control,3,Chisel,46.8,2937.5,Corn,CC,102,11.1,,27400,,,12.7,68
312,302_3,1970,3,12,RT_N,2,N_only,3,Chisel,86.6,5435.7,Corn,CC,107,13.3,,26100,,,5,136.1
313,303_3,1970,3,13,RT_NwNPK,3,NplusNPKst,3,Chisel,64,4017.1,Corn,CC,107,4.5,,29200,,,13.4,108.8
314,304_3,1970,3,14,RT_NPK,4,NPK,3,Chisel,84.3,5291.3,Corn,CC,108,6.3,,27900,,,1.6,117.9
315,305_3,1970,3,15,RT_NPKwNPK,5,NPKplusNPKst,3,Chisel,86.3,5416.8,Corn,CC,110,13.8,,25300,,,13.8,145.1
316,301_4,1970,3,16,NT_ctrl,1,Control,4,No_till,68.4,4293.3,Corn,CC,103,10.6,,28800,,,7.6,99.8
317,302_4,1970,3,17,NT_N,2,N_only,4,No_till,63.3,3973.2,Corn,CC,99,7.5,,29200,,,11.9,95.2
318,303_4,1970,3,18,NT_NwNPK,3,NplusNPKst,4,No_till,67.1,4211.7,Corn,CC,114,6.3,,27400,,,15.9,108.8
319,304_4,1970,3,19,NT_NPK,4,NPK,4,No_till,111.3,6986,Corn,CC,98,8.6,,25300,,,8.6,181.4
320,305_4,1970,3,20,NT_NPKwNPK,5,NPKplusNPKst,4,No_till,107.2,6728.7,Corn,CC,108,14.3,,27400,,,12.7,158.7
401,401_1,1970,4,1,CT_ctrl,1,Control,1,Conv,47.1,2956.4,Corn,CC,96,12.1,,25300,,,13.8,81.6
402,402_1,1970,4,2,CT_N,2,N_only,1,Conv,77.9,4889.6,Corn,CC,101,10.7,,32700,,,13.3,99.8
403,403_1,1970,4,3,CT_NwNPK,3,NplusNPKst,1,Conv,117.7,7387.7,Corn,CC,108,12.1,,28800,,,6.1,140.6
404,404_1,1970,4,4,CT_NPK,4,NPK,1,Conv,84.6,5310.1,Corn,CC,111,17.1,,30500,,,8.6,113.4
405,405_1,1970,4,5,CT_NPKwNPK,5,NPKplusNPKst,1,Conv,96.3,6044.5,Corn,CC,108,18,,26600,,,3.3,136.1
406,401_2,1970,4,6,AT_ctrl,1,Control,2,Alt,20.6,1293,Corn,CC,94,8.8,,24800,,,21.1,59
407,402_2,1970,4,7,AT_N,2,N_only,2,Alt,88.9,5580,Corn,CC,110,5.5,,24000,,,16.4,149.7
408,403_2,1970,4,8,AT_NwNPK,3,NplusNPKst,2,Alt,68.4,4293.3,Corn,CC,108,6.1,,28800,,,10.6,113.4
409,404_2,1970,4,9,AT_NPK,4,NPK,2,Alt,78.8,4946.1,Corn,CC,109,1.7,,25700,,,10.2,136.1
410,405_2,1970,4,10,AT_NPKwNPK,5,NPKplusNPKst,2,Alt,88.5,5554.9,Corn,CC,109,3.4,,25700,,,16.9,140.6
411,401_3,1970,4,11,RT_ctrl,1,Control,3,Chisel,46.5,2918.7,Corn,CC,105,3.4,,25700,,,8.5,77.1
412,402_3,1970,4,12,RT_N,2,N_only,3,Chisel,93,5837.4,Corn,CC,106,20.6,,27900,,,12.7,145.1
413,403_3,1970,4,13,RT_NwNPK,3,NplusNPKst,3,Chisel,90.9,5705.6,Corn,CC,111,7.1,,30500,,,18.8,131.5
414,404_3,1970,4,14,RT_NPK,4,NPK,3,Chisel,86.7,5441.9,Corn,CC,112,11.5,,26600,,,14.8,131.5
415,405_3,1970,4,15,RT_NPKwNPK,5,NPKplusNPKst,3,Chisel,87.4,5485.9,Corn,CC,112,20,,30500,,,15.7,127
416,401_4,1970,4,16,NT_ctrl,1,Control,4,No_till,35.4,2222,Corn,CC,103,7.9,,27400,,,22.2,72.6
417,402_4,1970,4,17,NT_N,2,N_only,4,No_till,75.2,4720.1,Corn,CC,102,6.9,,25300,,,10.3,127
418,403_4,1970,4,18,NT_NwNPK,3,NplusNPKst,4,No_till,91.9,5768.3,Corn,CC,111,6.1,,28800,,,10.6,140.6
419,404_4,1970,4,19,NT_NPK,4,NPK,4,No_till,87,5460.8,Corn,CC,114,15.2,,28800,,,9.1,127
420,405_4,1970,4,20,NT_NPKwNPK,5,NPKplusNPKst,4,No_till,104.4,6552.9,Corn,CC,107,1.5,,28300,,,4.6,158.7
101,101_1,1971,1,1,CT_ctrl,1,Control,1,Conv,34.8,2184.3,Corn,CC,90,0,,18300,,,14.2,77.1
102,102_1,1971,1,2,CT_N,2,N_only,1,Conv,90.6,5686.7,Corn,CC,90,7.7,,17000,,,7.7,199.5
103,103_1,1971,1,3,CT_NwNPK,3,NplusNPKst,1,Conv,119.4,7494.4,Corn,CC,106,0,,16600,,,0,235.8
104,104_1,1971,1,4,CT_NPK,4,NPK,1,Conv,115,7218.3,Corn,CC,108,4.8,,18300,,,2.4,185.9
105,105_1,1971,1,5,CT_NPKwNPK,5,NPKplusNPKst,1,Conv,110.8,6954.6,Corn,CC,107,4.8,,18300,,,4.8,217.7
106,101_2,1971,1,6,AT_ctrl,1,Control,2,Alt,52.6,3301.6,Corn,CC,102,0,,17400,,,17.5,140.6
107,102_2,1971,1,7,AT_N,2,N_only,2,Alt,93.9,5893.9,Corn,CC,90,16.3,,18700,,,7,172.3
108,103_2,1971,1,8,AT_NwNPK,3,NplusNPKst,2,Alt,91.3,5730.7,Corn,CC,104,0,,17000,,,5.1,195
109,104_2,1971,1,9,AT_NPK,4,NPK,2,Alt,71.5,4487.9,Corn,CC,96,4.8,,18300,,,11.9,158.7
110,105_2,1971,1,10,AT_NPKwNPK,5,NPKplusNPKst,2,Alt,72.7,4563.2,Corn,CC,100,2.3,,19200,,,4.5,149.7
111,101_3,1971,1,11,RT_ctrl,1,Control,3,Chisel,53.1,3333,Corn,CC,98,4.8,,18300,,,14.3,127
112,102_3,1971,1,12,RT_N,2,N_only,3,Chisel,128.2,8046.8,Corn,CC,100,0,,19600,,,2.2,213.1
113,103_3,1971,1,13,RT_NwNPK,3,NplusNPKst,3,Chisel,85.6,5372.9,Corn,CC,102,0,,16100,,,8.1,185.9
114,104_3,1971,1,14,RT_NPK,4,NPK,3,Chisel,94.2,5912.7,Corn,CC,105,0,,15200,,,0,195
115,105_3,1971,1,15,RT_NPKwNPK,5,NPKplusNPKst,3,Chisel,101.9,6396,Corn,CC,100,5.1,,17000,,,5.1,208.6
116,101_4,1971,1,16,NT_ctrl,1,Control,4,No_till,19.1,1198.9,Corn,CC,90,0,,17400,,,32.5,59
117,102_4,1971,1,17,NT_N,2,N_only,4,No_till,69.4,4356.1,Corn,CC,95,2.6,,17000,,,5.1,167.8
118,103_4,1971,1,18,NT_NwNPK,3,NplusNPKst,4,No_till,100,6276.8,Corn,CC,108,0,,17000,,,2.6,231.3
119,104_4,1971,1,19,NT_NPK,4,NPK,4,No_till,91,5711.8,Corn,CC,99,0,,16600,,,2.6,199.5
120,105_4,1971,1,20,NT_NPKwNPK,5,NPKplusNPKst,4,No_till,83,5209.7,Corn,CC,105,2.8,,15700,,,8.3,217.7
201,201_1,1971,2,1,CT_ctrl,1,Control,1,Conv,70.4,4418.8,Corn,CC,92,2.4,,19600,,,9.8,131.5
202,202_1,1971,2,2,CT_N,2,N_only,1,Conv,95.9,6019.4,Corn,CC,97,0,,20500,,,0,163.3
203,203_1,1971,2,3,CT_NwNPK,3,NplusNPKst,1,Conv,113,7092.7,Corn,CC,98,2.2,,20000,,,2.2,204.1
204,204_1,1971,2,4,CT_NPK,4,NPK,1,Conv,100.9,6333.2,Corn,CC,97,4.2,,20900,,,8.3,185.9
205,205_1,1971,2,5,CT_NPKwNPK,5,NPKplusNPKst,1,Conv,75.4,4732.7,Corn,CC,97,0,,15200,,,0,190.5
206,201_2,1971,2,6,AT_ctrl,1,Control,2,Alt,14.3,897.6,Corn,CC,94,0,,16100,,,27,72.6
207,202_2,1971,2,7,AT_N,2,N_only,2,Alt,69.4,4356.1,Corn,CC,98,0,,15700,,,2.8,181.4
208,203_2,1971,2,8,AT_NwNPK,3,NplusNPKst,2,Alt,59.9,3759.8,Corn,CC,96,5.9,,14800,,,2.9,149.7
209,204_2,1971,2,9,AT_NPK,4,NPK,2,Alt,92.1,5780.9,Corn,CC,103,0,,16100,,,2.7,213.1
210,205_2,1971,2,10,AT_NPKwNPK,5,NPKplusNPKst,2,Alt,80.2,5034,Corn,CC,102,0,,13900,,,3.1,222.2
211,201_3,1971,2,11,RT_ctrl,1,Control,3,Chisel,55.2,3464.8,Corn,CC,98,2.2,,20000,,,6.5,131.5
212,202_3,1971,2,12,RT_N,2,N_only,3,Chisel,87.9,5517.3,Corn,CC,96,2.6,,17000,,,0,190.5
213,203_3,1971,2,13,RT_NwNPK,3,NplusNPKst,3,Chisel,90.4,5674.2,Corn,CC,99,7.1,,18300,,,7.1,185.9
214,204_3,1971,2,14,RT_NPK,4,NPK,3,Chisel,86.3,5416.8,Corn,CC,90,2.4,,17900,,,9.8,181.4
215,205_3,1971,2,15,RT_NPKwNPK,5,NPKplusNPKst,3,Chisel,108,6778.9,Corn,CC,96,9.8,,17900,,,2.4,213.1
216,201_4,1971,2,16,NT_ctrl,1,Control,4,No_till,54.1,3395.7,Corn,CC,101,0,,17000,,,7.7,131.5
217,202_4,1971,2,17,NT_N,2,N_only,4,No_till,65.8,4130.1,Corn,CC,100,0,,15200,,,8.6,154.2
218,203_4,1971,2,18,NT_NwNPK,3,NplusNPKst,4,No_till,88.7,5567.5,Corn,CC,96,2.7,,16100,,,2.7,208.6
219,204_4,1971,2,19,NT_NPK,4,NPK,4,No_till,97.2,6101,Corn,CC,96,0,,15200,,,5.7,222.2
220,205_4,1971,2,20,NT_NPKwNPK,5,NPKplusNPKst,4,No_till,63,3954.4,Corn,CC,84,2.5,,17400,,,12.5,149.7
301,301_1,1971,3,1,CT_ctrl,1,Control,1,Conv,41.4,2598.6,Corn,CC,94,2.2,,19600,,,6.7,95.2
302,302_1,1971,3,2,CT_N,2,N_only,1,Conv,96.2,6038.2,Corn,CC,84,0,,18700,,,7,199.5
303,303_1,1971,3,3,CT_NwNPK,3,NplusNPKst,1,Conv,90.9,5705.6,Corn,CC,98,6.5,,20000,,,4.3,167.8
304,304_1,1971,3,4,CT_NPK,4,NPK,1,Conv,104.8,6578,Corn,CC,96,6.4,,20500,,,0,208.6
305,305_1,1971,3,5,CT_NPKwNPK,5,NPKplusNPKst,1,Conv,87.8,5511,Corn,CC,96,4.9,,17900,,,0,176.9
306,301_2,1971,3,6,AT_ctrl,1,Control,2,Alt,49.6,3113.3,Corn,CC,84,2,,21300,,,12.2,99.8
307,302_2,1971,3,7,AT_N,2,N_only,2,Alt,58.6,3678.2,Corn,CC,102,2.4,,17900,,,0,127
308,303_2,1971,3,8,AT_NwNPK,3,NplusNPKst,2,Alt,80.4,5046.5,Corn,CC,100,0,,17400,,,2.5,172.3
309,304_2,1971,3,9,AT_NPK,4,NPK,2,Alt,76.8,4820.5,Corn,CC,102,0,,18700,,,7,158.7
310,305_2,1971,3,10,AT_NPKwNPK,5,NPKplusNPKst,2,Alt,85.4,5360.3,Corn,CC,102,0,,17400,,,2.5,181.4
311,301_3,1971,3,11,RT_ctrl,1,Control,3,Chisel,45.5,2855.9,Corn,CC,102,2,,22200,,,13.7,95.2
312,302_3,1971,3,12,RT_N,2,N_only,3,Chisel,59.2,3715.8,Corn,CC,96,6.8,,19200,,,6.8,154.2
313,303_3,1971,3,13,RT_NwNPK,3,NplusNPKst,3,Chisel,80.7,5065.3,Corn,CC,100,6.5,,20000,,,0,154.2
314,304_3,1971,3,14,RT_NPK,4,NPK,3,Chisel,78.3,4914.7,Corn,CC,98,2.1,,20500,,,10.6,163.3
315,305_3,1971,3,15,RT_NPKwNPK,5,NPKplusNPKst,3,Chisel,99,6214,Corn,CC,105,2.4,,17900,,,4.9,199.5
316,301_4,1971,3,16,NT_ctrl,1,Control,4,No_till,34.3,2152.9,Corn,CC,84,2.1,,20500,,,14.9,90.7
317,302_4,1971,3,17,NT_N,2,N_only,4,No_till,78.4,4921,Corn,CC,102,0,,18300,,,7.1,172.3
318,303_4,1971,3,18,NT_NwNPK,3,NplusNPKst,4,No_till,83.9,5266.2,Corn,CC,102,5.6,,15700,,,2.8,195
319,304_4,1971,3,19,NT_NPK,4,NPK,4,No_till,94.7,5944.1,Corn,CC,96,2.4,,17900,,,2.4,163.3
320,305_4,1971,3,20,NT_NPKwNPK,5,NPKplusNPKst,4,No_till,73.9,4638.5,Corn,CC,106,0,,15700,,,8.3,231.3
401,401_1,1971,4,1,CT_ctrl,1,Control,1,Conv,30,1883,Corn,CC,95,0,,19600,,,8.9,63.5
402,402_1,1971,4,2,CT_N,2,N_only,1,Conv,71.3,4475.3,Corn,CC,88,4.9,,17900,,,2.4,145.1
403,403_1,1971,4,3,CT_NwNPK,3,NplusNPKst,1,Conv,91.9,5768.3,Corn,CC,98,2.4,,17900,,,0,199.5
404,404_1,1971,4,4,CT_NPK,4,NPK,1,Conv,98.5,6182.6,Corn,CC,102,4.2,,20900,,,8.3,190.5
405,405_1,1971,4,5,CT_NPKwNPK,5,NPKplusNPKst,1,Conv,100.6,6314.4,Corn,CC,102,0,,20900,,,8.3,176.9
406,401_2,1971,4,6,AT_ctrl,1,Control,2,Alt,31.6,1983.5,Corn,CC,84,1.9,,22700,,,11.5,77.1
407,402_2,1971,4,7,AT_N,2,N_only,2,Alt,80.6,5059.1,Corn,CC,98,0,,17000,,,0,195
408,403_2,1971,4,8,AT_NwNPK,3,NplusNPKst,2,Alt,94.9,5956.6,Corn,CC,96,0,,14400,,,0,213.1
409,404_2,1971,4,9,AT_NPK,4,NPK,2,Alt,84.1,5278.7,Corn,CC,96,7.9,,16600,,,0,195
410,405_2,1971,4,10,AT_NPKwNPK,5,NPKplusNPKst,2,Alt,103.6,6502.7,Corn,CC,97,4.3,,20500,,,4.3,185.9
411,401_3,1971,4,11,RT_ctrl,1,Control,3,Chisel,41,2573.5,Corn,CC,86,0,,18300,,,4.8,95.2
412,402_3,1971,4,12,RT_N,2,N_only,3,Chisel,92.3,5793.4,Corn,CC,94,0,,20500,,,0,167.8
413,403_3,1971,4,13,RT_NwNPK,3,NplusNPKst,3,Chisel,101.4,6364.6,Corn,CC,96,7,,18700,,,0,190.5
414,404_3,1971,4,14,RT_NPK,4,NPK,3,Chisel,89.5,5617.7,Corn,CC,100,2.3,,19200,,,2.3,167.8
415,405_3,1971,4,15,RT_NPKwNPK,5,NPKplusNPKst,3,Chisel,95.1,5969.2,Corn,CC,103,2.1,,20900,,,2.1,176.9
416,401_4,1971,4,16,NT_ctrl,1,Control,4,No_till,28.6,1795.2,Corn,CC,95,4.3,,20000,,,19.6,90.7
417,402_4,1971,4,17,NT_N,2,N_only,4,No_till,75.6,4745.2,Corn,CC,100,6.2,,20900,,,6.2,149.7
418,403_4,1971,4,18,NT_NwNPK,3,NplusNPKst,4,No_till,80.2,5034,Corn,CC,96,2.4,,17900,,,2.4,181.4
419,404_4,1971,4,19,NT_NPK,4,NPK,4,No_till,83.7,5253.6,Corn,CC,97,0,,19200,,,6.8,167.8
420,405_4,1971,4,20,NT_NPKwNPK,5,NPKplusNPKst,4,No_till,91.4,5737,Corn,CC,95,2.9,,15200,,,0,226.8
101,101_1,1972,1,1,CT_ctrl,1,Control,1,Conv,48.5,3044.2,Corn,CC,62,,,20400,,,8.5,86.2
102,102_1,1972,1,2,CT_N,2,N_only,1,Conv,92.5,5806,Corn,CC,84,,,27000,,,8.1,181.4
103,103_1,1972,1,3,CT_NwNPK,3,NplusNPKst,1,Conv,156,9791.7,Corn,CC,88,,,26500,,,6.6,231.3
104,104_1,1972,1,4,CT_NPK,4,NPK,1,Conv,183.1,11492.7,Corn,CC,87,,,27400,,,7.9,249.4
105,105_1,1972,1,5,CT_NPKwNPK,5,NPKplusNPKst,1,Conv,133.2,8360.6,Corn,CC,95,,,27400,,,3.2,204.1
106,101_2,1972,1,6,AT_ctrl,1,Control,2,Alt,49.5,3107,Corn,CC,62,,,27800,,,4.7,113.4
107,102_2,1972,1,7,AT_N,2,N_only,2,Alt,100,6276.8,Corn,CC,90,,,20900,,,2.1,208.6
108,103_2,1972,1,8,AT_NwNPK,3,NplusNPKst,2,Alt,138.4,8687,Corn,CC,86,,,23900,,,5.4,244.9
109,104_2,1972,1,9,AT_NPK,4,NPK,2,Alt,136.4,8561.5,Corn,CC,92,,,21300,,,6.1,263
110,105_2,1972,1,10,AT_NPKwNPK,5,NPKplusNPKst,2,Alt,132.8,8335.5,Corn,CC,84,,,22600,,,9.6,231.3
111,101_3,1972,1,11,RT_ctrl,1,Control,3,Chisel,24.8,1556.6,Corn,CC,59,,,23100,,,17,68
112,102_3,1972,1,12,RT_N,2,N_only,3,Chisel,80.5,5052.8,Corn,CC,73,,,26100,,,8.3,154.2
113,103_3,1972,1,13,RT_NwNPK,3,NplusNPKst,3,Chisel,128.5,8065.6,Corn,CC,83,,,23900,,,3.6,213.1
114,104_3,1972,1,14,RT_NPK,4,NPK,3,Chisel,111.7,7011.1,Corn,CC,84,,,20400,,,0,185.9
115,105_3,1972,1,15,RT_NPKwNPK,5,NPKplusNPKst,3,Chisel,109.5,6873,Corn,CC,86,,,23900,,,3.6,213.1
116,101_4,1972,1,16,NT_ctrl,1,Control,4,No_till,46.3,2906.1,Corn,CC,55,,,23500,,,9.3,149.7
117,102_4,1972,1,17,NT_N,2,N_only,4,No_till,99.4,6239.1,Corn,CC,71,,,24400,,,0,185.9
118,103_4,1972,1,18,NT_NwNPK,3,NplusNPKst,4,No_till,100.5,6308.1,Corn,CC,77,,,17800,,,0,222.2
119,104_4,1972,1,19,NT_NPK,4,NPK,4,No_till,116.4,7306.1,Corn,CC,82,,,20000,,,2.2,222.2
120,105_4,1972,1,20,NT_NPKwNPK,5,NPKplusNPKst,4,No_till,125.9,7902.4,Corn,CC,79,,,19600,,,2.2,281.2
201,201_1,1972,2,1,CT_ctrl,1,Control,1,Conv,49,3075.6,Corn,CC,60,,,27000,,,19.3,108.8
202,202_1,1972,2,2,CT_N,2,N_only,1,Conv,99.3,6232.8,Corn,CC,78,,,26100,,,1.7,163.3
203,203_1,1972,2,3,CT_NwNPK,3,NplusNPKst,1,Conv,114.7,7199.4,Corn,CC,80,,,28700,,,3,190.5
204,204_1,1972,2,4,CT_NPK,4,NPK,1,Conv,125.8,7896.2,Corn,CC,83,,,24800,,,1.8,199.5
205,205_1,1972,2,5,CT_NPKwNPK,5,NPKplusNPKst,1,Conv,136.5,8567.8,Corn,CC,87,,,26500,,,1.6,190.5
206,201_2,1972,2,6,AT_ctrl,1,Control,2,Alt,40.8,2560.9,Corn,CC,66,,,18700,,,9.3,131.5
207,202_2,1972,2,7,AT_N,2,N_only,2,Alt,128.2,8046.8,Corn,CC,84,,,24800,,,0,204.1
208,203_2,1972,2,8,AT_NwNPK,3,NplusNPKst,2,Alt,104,6527.8,Corn,CC,78,,,19600,,,4.4,222.2
209,204_2,1972,2,9,AT_NPK,4,NPK,2,Alt,176.3,11065.9,Corn,CC,87,,,25200,,,1.7,272.1
210,205_2,1972,2,10,AT_NPKwNPK,5,NPKplusNPKst,2,Alt,115.9,7274.8,Corn,CC,82,,,25200,,,0,176.9
211,201_3,1972,2,11,RT_ctrl,1,Control,3,Chisel,44.4,2786.9,Corn,CC,61,,,21300,,,4.1,99.8
212,202_3,1972,2,12,RT_N,2,N_only,3,Chisel,102.4,6427.4,Corn,CC,77,,,21800,,,0,163.3
213,203_3,1972,2,13,RT_NwNPK,3,NplusNPKst,3,Chisel,122.4,7682.7,Corn,CC,79,,,19600,,,2.2,249.4
214,204_3,1972,2,14,RT_NPK,4,NPK,3,Chisel,124.9,7839.7,Corn,CC,78,,,23500,,,0,267.6
215,205_3,1972,2,15,RT_NPKwNPK,5,NPKplusNPKst,3,Chisel,119.3,7488.2,Corn,CC,81,,,18700,,,0,249.4
216,201_4,1972,2,16,NT_ctrl,1,Control,4,No_till,53.5,3358.1,Corn,CC,60,,,22600,,,19.2,154.2
217,202_4,1972,2,17,NT_N,2,N_only,4,No_till,89.4,5611.4,Corn,CC,67,,,20000,,,0,199.5
218,203_4,1972,2,18,NT_NwNPK,3,NplusNPKst,4,No_till,104,6527.8,Corn,CC,82,,,13900,,,0,276.6
